Geography,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Prince Edward Island,Prince Edward Island,Prince Edward Island,Nova Scotia,Nova Scotia,Nova Scotia,New Brunswick,New Brunswick,New Brunswick,Quebec,Quebec,Quebec,Ontario,Ontario,Ontario,Manitoba,Manitoba,Manitoba,Saskatchewan,Saskatchewan,Saskatchewan,Alberta,Alberta,Alberta,British Columbia,British Columbia,British Columbia,Yukon Territory,Yukon Territory,Yukon Territory,Northwest Territories,Northwest Territories,Northwest Territories,Nunavut,Nunavut,Nunavut
Gender (3) 5 6,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,"433,955","211,180","222,775","126,900","61,450","65,450","819,315","395,805","423,510","648,250","316,950","331,300","6,918,730","3,414,515","3,504,210","11,782,825","5,733,360","6,049,460","1,058,410","522,505","535,905","882,760","436,515","446,245","3,375,130","1,675,855","1,699,275","4,200,425","2,048,395","2,152,025","32,775","16,185","16,595","31,915","16,125","15,785","24,540","12,410","12,130"
Occupation - not applicable 13,"165,980","74,715","91,270","36,600","15,335","21,270","288,900","125,720","163,185","224,990","98,770","126,220","2,171,615","950,195","1,221,425","3,897,110","1,660,625","2,236,485","331,285","140,335","190,945","266,970","115,120","151,850","953,020","401,960","551,055","1,344,530","576,335","768,200","7,260","3,610","3,650","7,770","3,720","4,050","9,355","4,780","4,575"
All occupations 14,"267,975","136,465","131,510","90,300","46,115","44,180","530,410","270,085","260,325","423,255","218,180","205,075","4,747,110","2,464,320","2,282,790","7,885,715","4,072,740","3,812,970","727,130","382,170","344,955","615,790","321,390","294,400","2,422,110","1,273,895","1,148,215","2,855,890","1,472,055","1,383,835","25,520","12,575","12,945","24,145","12,405","11,735","15,180","7,630","7,550"
0 Legislative and senior management occupations,"2,180","1,270",915,875,540,335,"5,380","3,330","2,045","3,810","2,465","1,340","83,500","60,115","23,385","99,875","69,175","30,700","6,705","4,385","2,320","5,725","3,360","2,370","24,445","17,320","7,125","34,020","23,640","10,380",460,220,240,435,245,185,280,160,115
00 Legislative and senior managers,"2,180","1,270",915,875,540,335,"5,380","3,330","2,045","3,810","2,465","1,340","83,500","60,115","23,385","99,875","69,175","30,700","6,705","4,385","2,320","5,725","3,360","2,370","24,445","17,320","7,125","34,020","23,640","10,380",460,220,240,435,245,185,280,160,115
000 Legislative and senior managers,"2,180","1,270",915,875,540,335,"5,380","3,330","2,045","3,810","2,465","1,340","83,500","60,115","23,385","99,875","69,175","30,700","6,705","4,385","2,320","5,725","3,360","2,370","24,445","17,320","7,125","34,020","23,640","10,380",460,220,240,435,245,185,280,160,115
0001 Legislative and senior managers,"2,180","1,270",915,875,540,335,"5,380","3,330","2,045","3,810","2,465","1,340","83,500","60,115","23,385","99,875","69,175","30,700","6,705","4,385","2,320","5,725","3,360","2,370","24,445","17,320","7,125","34,020","23,640","10,380",460,220,240,435,245,185,280,160,115
00010 Legislators,75,25,45,50,45,10,385,200,185,235,125,110,"2,165","1,295",875,"2,460","1,470",995,560,345,220,710,440,275,"1,165",610,550,"1,350",685,670,85,50,40,75,40,35,60,40,20
00018 Seniors managers - public and private sector 15,"2,110","1,245",865,830,500,330,"4,990","3,130","1,860","3,575","2,340","1,230","81,335","58,820","22,515","97,415","67,705","29,705","6,140","4,045","2,100","5,015","2,920","2,095","23,285","16,710","6,580","32,665","22,955","9,710",375,170,205,355,205,150,220,120,100
"1 Business, finance and administration occupations","35,440","9,400","26,045","13,330","3,800","9,525","79,305","23,020","56,290","63,420","18,285","45,135","832,790","273,850","558,940","1,428,300","479,380","948,920","115,275","35,445","79,830","89,410","24,000","65,410","403,300","117,240","286,065","484,985","148,070","336,915","4,535","1,065","3,470","4,350","1,105","3,240","2,605",680,"1,935"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","3,355","1,505","1,855","1,305",540,765,"9,295","4,005","5,290","6,370","2,835","3,535","93,585","43,460","50,125","212,585","96,355","116,230","11,200","4,935","6,260","8,780","3,870","4,910","43,725","20,185","23,540","62,025","28,340","33,685",590,225,365,525,220,310,310,115,190
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","3,355","1,505","1,855","1,305",540,765,"9,295","4,005","5,290","6,370","2,835","3,535","93,585","43,460","50,125","212,585","96,355","116,230","11,200","4,935","6,260","8,780","3,870","4,910","43,725","20,185","23,540","62,025","28,340","33,685",590,225,365,525,220,310,310,115,190
1001 Administrative services managers,"1,820",815,"1,000",720,270,445,"4,430","1,875","2,555","3,245","1,340","1,905","51,585","22,515","29,065","88,120","37,985","50,130","5,235","2,220","3,010","4,200","1,780","2,415","21,425","9,455","11,970","26,210","11,215","14,995",350,105,245,325,95,230,235,90,145
10010 Financial managers,525,170,355,245,80,165,"1,595",675,915,"1,145",410,735,"22,125","9,405","12,730","33,090","14,255","18,840","1,935",815,"1,125","1,310",515,795,"6,970","2,720","4,250","8,910","3,380","5,530",130,30,100,115,25,90,100,35,65
10011 Human resources managers,565,230,330,220,65,150,"1,145",340,810,840,280,570,"11,355","3,975","7,375","22,730","6,435","16,290","1,580",545,"1,035","1,340",555,785,"5,785","2,070","3,710","6,570","2,130","4,445",85,40,50,85,25,70,60,25,35
10012 Purchasing managers,275,185,90,65,40,20,610,340,270,415,275,145,"6,075","3,705","2,370","12,535","7,610","4,925",510,335,175,545,330,215,"3,460","2,215","1,245","3,350","2,160","1,190",20,0,15,25,20,10,10,15,0
10019 Other administrative services managers,460,230,230,190,80,105,"1,080",530,555,845,385,460,"12,025","5,430","6,595","19,760","9,685","10,075","1,205",525,675,"1,010",385,620,"5,210","2,445","2,755","7,380","3,545","3,830",115,30,85,90,25,65,60,20,40
1002 Managers in financial and business services,"1,425",615,810,580,260,310,"4,630","1,960","2,665","2,930","1,380","1,550","39,645","19,205","20,435","119,460","54,935","64,535","5,690","2,530","3,160","4,375","1,955","2,415","21,180","9,930","11,245","34,535","16,225","18,310",210,100,110,195,115,75,70,25,45
"10020 Insurance, real estate and financial brokerage managers",135,70,70,60,20,40,850,425,425,450,225,225,"4,855","2,640","2,215","18,505","9,930","8,575","1,180",620,560,725,370,350,"3,580","2,055","1,520","7,350","4,170","3,180",25,20,10,30,15,15,0,0,0
"10021 Banking, credit and other investment managers",455,180,265,130,65,65,"1,380",570,815,995,445,555,"15,215","7,930","7,280","39,545","18,885","20,660","1,700",740,960,"1,855",740,"1,110","7,015","3,335","3,680","9,325","4,160","5,160",65,30,30,35,25,15,10,0,10
"10022 Advertising, marketing and public relations managers",570,250,320,295,125,175,"1,840",660,"1,185",935,435,495,"16,300","6,650","9,650","50,240","20,190","30,050","2,065",810,"1,255","1,290",610,680,"7,635","3,040","4,590","14,220","5,915","8,305",90,45,50,85,55,30,30,10,20
10029 Other business services managers,265,120,150,85,55,30,555,315,240,545,270,275,"3,270","1,985","1,285","11,170","5,925","5,245",740,360,380,510,235,275,"2,950","1,500","1,455","3,645","1,980","1,660",30,0,20,40,30,15,20,10,10
1003 Managers in communication (except broadcasting),110,65,40,10,10,0,230,160,65,190,110,80,"2,360","1,735",630,"5,005","3,440","1,565",280,190,85,205,135,75,"1,125",795,325,"1,280",900,385,30,30,0,10,10,0,0,0,0
10030 Telecommunication carriers managers,110,65,40,10,10,0,230,160,65,190,110,80,"2,360","1,735",630,"5,005","3,440","1,565",280,190,85,205,135,75,"1,125",795,325,"1,280",900,385,30,30,0,10,10,0,0,0,0
11 Professional occupations in finance and business,"5,390","2,135","3,255","2,120",905,"1,215","15,080","6,510","8,570","11,420","4,870","6,550","187,060","78,520","108,540","347,735","158,780","188,955","20,420","9,370","11,050","15,125","6,265","8,860","82,695","35,730","46,965","105,525","47,785","57,745",660,240,420,565,235,330,250,95,155
111 Professional occupations in finance,"3,120","1,385","1,735","1,075",580,490,"7,930","4,095","3,835","5,540","2,770","2,770","99,280","46,585","52,695","180,325","94,110","86,215","11,540","6,065","5,475","8,470","3,965","4,500","46,865","22,145","24,720","57,955","29,140","28,815",200,70,130,200,85,115,90,45,50
"1110 Auditors, accountants and investment professionals","3,120","1,385","1,735","1,075",580,490,"7,930","4,095","3,835","5,540","2,770","2,770","99,280","46,585","52,695","180,325","94,110","86,215","11,540","6,065","5,475","8,470","3,965","4,500","46,865","22,145","24,720","57,955","29,140","28,815",200,70,130,200,85,115,90,45,50
11100 Financial auditors and accountants,"1,945",850,"1,095",605,300,305,"4,210","1,965","2,250","2,880","1,350","1,530","48,240","20,055","28,190","83,600","39,855","43,740","6,435","3,260","3,180","4,480","1,900","2,585","27,920","11,940","15,980","31,290","13,875","17,415",100,40,60,110,50,60,50,25,30
11101 Financial and investment analysts,180,65,115,70,50,25,880,490,390,570,315,260,"16,685","8,940","7,740","31,765","17,715","14,050","1,040",520,525,585,350,230,"3,995","2,395","1,600","5,395","3,295","2,105",20,0,20,40,15,25,20,10,10
11102 Financial advisors,840,420,425,330,210,120,"2,070","1,255",815,"1,555",885,670,"24,185","13,115","11,070","42,225","23,895","18,330","3,055","1,745","1,310","2,685","1,385","1,310","10,950","5,655","5,300","13,890","7,740","6,150",65,25,40,45,20,25,20,10,10
"11103 Securities agents, investment dealers and brokers",45,20,25,35,15,20,180,135,45,195,105,90,"2,505","1,595",910,"8,155","5,725","2,435",350,265,80,190,125,65,"1,570","1,165",405,"2,655","1,970",690,0,0,0,0,0,0,0,0,0
11109 Other financial officers,120,40,75,35,10,25,585,260,330,345,120,220,"7,665","2,875","4,785","14,580","6,915","7,670",655,275,380,530,215,315,"2,425",990,"1,435","4,720","2,260","2,455",10,0,0,0,0,0,10,0,10
112 Professional occupations in business,"2,270",745,"1,520","1,045",325,725,"7,150","2,415","4,735","5,875","2,100","3,780","87,780","31,935","55,840","167,415","64,675","102,740","8,880","3,305","5,575","6,655","2,295","4,360","35,830","13,590","22,245","47,575","18,645","28,930",460,170,290,365,145,215,160,50,110
1120 Human resources and business service professionals,"2,270",745,"1,520","1,045",325,725,"7,150","2,415","4,735","5,875","2,100","3,780","87,780","31,935","55,840","167,415","64,675","102,740","8,880","3,305","5,575","6,655","2,295","4,360","35,830","13,590","22,245","47,575","18,645","28,930",460,170,290,365,145,215,160,50,110
11200 Human resources professionals,870,210,660,375,90,285,"2,155",495,"1,655","2,900",795,"2,110","26,725","7,330","19,390","40,520","10,170","30,355","3,250",860,"2,390","2,430",650,"1,780","9,915","2,300","7,615","10,225","2,665","7,565",185,50,140,135,40,95,100,30,65
11201 Professional occupations in business management consulting,535,260,280,215,100,120,"1,820",890,935,"1,355",775,580,"26,305","14,110","12,195","53,425","29,170","24,250","2,055","1,120",935,"1,535",770,765,"11,535","6,585","4,950","14,080","8,155","5,930",100,70,35,80,35,45,10,10,0
"11202 Professional occupations in advertising, marketing and public relations",860,280,580,455,140,320,"3,175","1,035","2,140","1,615",535,"1,085","34,750","10,500","24,255","73,465","25,335","48,135","3,575","1,330","2,245","2,690",875,"1,815","14,385","4,705","9,680","23,270","7,830","15,440",170,55,115,150,70,80,45,10,35
12 Administrative and financial supervisors and specialized administrative occupations,"6,045","1,755","4,295","2,795",720,"2,075","11,705","3,465","8,240","9,560","2,645","6,920","119,970","37,715","82,255","202,025","61,330","140,690","17,715","5,200","12,515","14,520","3,595","10,925","63,510","16,450","47,055","73,360","19,485","53,880",710,160,545,745,175,575,395,120,280
120 Administrative and financial supervisors,830,405,425,225,115,110,"1,535",770,765,"1,380",685,700,"14,635","7,555","7,080","29,065","14,885","14,185","2,655","1,220","1,435","1,680",730,950,"9,135","4,120","5,010","9,345","4,480","4,865",80,35,50,75,20,55,35,10,25
1201 Administrative and financial supervisors,830,405,425,225,115,110,"1,535",770,765,"1,380",685,700,"14,635","7,555","7,080","29,065","14,885","14,185","2,655","1,220","1,435","1,680",730,950,"9,135","4,120","5,010","9,345","4,480","4,865",80,35,50,75,20,55,35,10,25
"12010 Supervisors, general office and administrative support workers",240,130,110,65,15,55,450,200,250,400,165,230,"4,290","2,150","2,135","7,010","2,900","4,105",590,175,415,485,145,335,"3,100","1,105","2,000","2,685","1,130","1,550",30,10,20,20,0,15,20,0,20
"12011 Supervisors, finance and insurance office workers",215,30,190,45,15,25,355,80,275,380,85,295,"4,025",980,"3,050","7,705","1,975","5,735",920,210,710,450,80,375,"2,055",295,"1,760","2,150",425,"1,725",15,0,20,20,0,15,10,0,10
"12012 Supervisors, library, correspondence and related information workers",90,25,70,20,0,20,175,50,125,125,50,80,470,220,250,"1,230",455,775,145,60,90,120,25,85,415,135,280,610,155,455,10,0,0,15,0,10,10,0,0
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",280,225,55,90,75,10,560,440,115,475,380,95,"5,845","4,205","1,645","13,130","9,555","3,570",995,775,220,635,480,160,"3,560","2,585",975,"3,905","2,765","1,135",35,20,15,25,10,15,0,0,0
121 Specialized administrative occupations,"3,445",915,"2,535","1,460",395,"1,065","5,105","1,500","3,600","4,100","1,070","3,025","58,360","16,765","41,600","90,900","25,375","65,525","7,345","2,270","5,075","5,060","1,380","3,675","25,495","7,080","18,415","27,205","7,715","19,490",370,90,285,390,95,295,205,70,135
1210 Administrative and regulatory occupations,"3,135",865,"2,265","1,375",390,990,"4,405","1,380","3,030","3,525",980,"2,545","52,345","15,790","36,550","80,590","22,815","57,775","6,530","2,140","4,390","4,335","1,305","3,025","22,345","6,585","15,760","24,270","7,125","17,140",340,85,260,350,95,255,190,65,125
12100 Executive assistants,390,35,360,165,20,140,990,115,875,710,65,645,"13,105","1,320","11,785","20,445","1,980","18,465","1,475",125,"1,350","1,295",115,"1,185","5,055",340,"4,715","6,295",540,"5,755",100,10,85,115,15,100,55,15,45
12101 Human resources and recruitment officers,340,65,275,120,35,90,780,265,510,590,145,440,"14,020","3,685","10,340","17,930","5,485","12,450",950,280,680,590,115,475,"3,585",985,"2,600","4,335","1,250","3,085",55,20,35,70,0,65,55,10,45
12102 Procurement and purchasing agents and officers,415,175,245,155,60,90,"1,100",465,630,845,375,470,"13,730","6,935","6,795","18,530","8,355","10,175","1,495",795,700,"1,345",700,640,"8,575","3,730","4,845","5,740","2,690","3,050",110,40,70,105,45,55,60,35,30
12103 Conference and event planners,200,75,120,105,45,55,555,180,370,220,35,185,"4,640","1,475","3,165","11,355","2,795","8,560",545,170,370,355,90,265,"2,395",570,"1,825","3,745","1,020","2,730",60,10,60,20,10,10,10,0,0
12104 Employment insurance and revenue officers,"1,785",520,"1,260",835,225,610,985,345,635,"1,165",355,810,"6,845","2,375","4,475","12,335","4,215","8,125","2,065",775,"1,290",750,280,465,"2,730",960,"1,770","4,155","1,625","2,525",15,0,10,45,10,30,20,10,10
"1211 Court reporters, transcriptionists, records management technicians and statistical officers",315,50,270,80,10,75,700,125,575,575,90,485,"6,020",970,"5,050","10,305","2,560","7,750",815,130,685,725,75,650,"3,150",490,"2,655","2,940",590,"2,345",30,0,25,40,0,40,15,10,10
